v2022,v2024,v2025a,v2025b,v2026,v2032,v2033,v2034,v2035,v2036,v2037,v2038,v2040a,v2041,v2042,v2043,v2044,v2045,v2046,v2047,v2049a,v2050,v2071,v2072,v2072a,v2073,v2074,v2078,v2081,v2115,v2119,v2120,v2121b,v2122,v2124,v2129,v2132,v2133,v3011,v3012,v3015,v3018,v3020,v3023a,v3024,v3032,v3033,v3034,v3040,v3042,v3044,v3046,v3048,v3054,v3060,v3061,v3062,v3063,v3064,v3065,v3066,v3067,v3068,v3069,v3077,v3079,v3081,vs002,vs007,vs008,vs014,vs015,vs018,vs019,vs020,vs021,vs022,vs023,vs024,vs025,vs027,vs028,vs029,vs030,vs031,vs032,vs033,vs034,vs035,vs036,vs037,vs038,vs039,vs040,vs041,vs042,vs043,vs129,vs130,vs044,vs045,vs046,vs047,vs048,vs049,vs050,vs051,vs052,vs053,vs054,vs055,vs056,vs057,vs058,vs059,vs060,vs061,vs062,vs063,vs064,vs064a,vs065,vs066,vs067,vs068,vs106,vs107,vs108,vs109,vs110,vs111,vs112,vs113,vs114,vs115,vs116,vs117,vs118,vs119,vs120,vs121,vs122,vs123,vs124,vs125,vs126,vs131,vs134,vs136,vs137,vr3,vr4,vr5,vr8,vr9,vr10,vr11,vr16,vr19,vr14b,v13,TotalHH,GradesRecode,EducationRecodePrincipal,LeaveSchLunch,SchCultureRecode,SchSecurityTotalRECODE,AlcoholRecode,MarijuanaRecode,PerscriptionRecode,fearavoid2,class
1,1,2,2,14,11,40,1,1,1,2,28,1,1,40,1,1,1,2,28,1,1,4,2,0,0,2,2,2,1,2,2,2,10,2,2,4,4,1,3,5,1,8,1,1,1,1,2,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,14,1,4,1,2,?,1,9,12,4,4,4,2,2,2,2,2,2,2,2,1,1,2,?,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,2,2,2,2,2,2,3,3,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,4789.34561,6,4,1,0,4,0,0,0,2,3,4,2,1,2,1,5,2,1,?,?,2,1
1,1,2,2,14,11,45,1,6,2,2,28,1,2,45,1,6,2,2,28,1,2,4,0,0,0,2,2,2,1,2,2,2,20,1,3,4,4,1,3,5,1,9,1,2,4,0,2,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,16,1,5,2,1,1,2,7,12,4,1,3,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,?,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,3,4,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,1,2,2,?,2,3844.33815,6,1,1,0,4,0,0,1,2,1,7,2,1,2,1,?,3,1,1,?,2,2
1,1,1,1,14,2,45,1,6,2,2,43,1,2,50,1,6,1,2,28,1,2,5,0,0,1,2,3,1,1,2,2,2,4,1,3,4,4,1,4,5,2,11,1,2,4,0,2,2,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,18,1,7,1,1,1,2,0,12,4,1,4,2,2,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,6838.57007,6,1,2,2,4,0,0,0,1,3,4,2,1,3,1,5,3,1,2,2,2,2
1,3,2,2,4,11,32,3,6,2,2,40,1,2,32,3,6,2,2,40,1,2,2,3,0,2,2,1,2,1,2,2,2,28,1,2,4,4,1,4,5,2,7,1,2,0,3,2,2,2,2,2,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,13,1,2,2,1,1,2,0,8,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,?,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,4277.29305,2,1,2,2,?,0,0,0,1,3,2,2,1,3,1,5,1,2,2,2,2,2
8,1,2,2,?,11,37,1,1,2,2,40,1,2,37,1,1,2,2,40,1,2,3,0,0,0,2,3,2,1,2,2,2,20,2,3,4,4,2,3,5,1,27,1,2,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,18,1,7,2,1,1,2,9,12,4,2,4,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,?,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,3,4402.47099,?,1,1,2,4,0,0,0,2,3,4,1,1,3,1,5,1,2,2,2,2,2
1,1,2,2,2,11,42,1,6,2,2,6,1,1,42,1,6,2,2,6,1,1,5,0,0,1,2,1,2,1,2,2,2,20,2,3,4,4,1,3,5,1,5,1,1,0,1,2,2,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,12,1,1,2,1,1,2,6,12,4,1,4,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,3970.08005,1,4,2,0,4,0,0,0,2,3,4,2,1,1,1,5,2,2,2,2,2,2
1,1,2,2,14,11,39,1,1,2,2,28,1,2,39,1,1,2,2,28,1,2,3,1,0,0,2,4,2,2,2,2,2,20,2,2,4,4,2,4,5,2,6,1,2,1,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,13,1,2,1,1,1,2,7,8,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,3,4387.85351,6,1,1,3,4,0,0,0,2,3,2,2,1,2,1,4,1,2,2,2,2,2
1,2,2,2,14,11,54,5,6,1,2,42,1,2,54,5,6,1,2,42,1,2,3,0,0,0,2,4,2,1,2,2,2,13,1,2,4,4,2,9,5,2,10,1,2,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,16,1,6,2,1,1,2,9,12,1,1,4,1,2,2,2,2,2,1,2,1,1,?,2,1,?,1,?,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,3,2,4,4,4,4,2,4,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,3,3747.25435,6,1,1,1,4,0,0,0,2,3,7,1,1,3,2,5,2,?,1,?,2,2
8,1,2,2,9,2,35,1,1,2,2,40,1,1,40,1,1,1,2,41,1,1,4,2,0,0,2,2,2,1,2,2,2,4,2,1,4,4,2,3,5,1,8,1,1,1,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,4,0,2,15,1,3,1,1,1,2,9,12,4,1,4,2,2,2,2,2,2,2,2,1,1,2,?,1,?,1,?,1,2,2,2,2,2,2,2,2,2,1,2,?,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,4740.50384,4,4,1,0,?,0,0,0,2,0,4,2,1,3,2,1,2,2,2,2,2,2
8,1,2,2,12,11,51,3,3,1,2,42,1,2,51,3,3,1,2,42,1,2,3,0,0,0,2,2,2,3,2,2,2,9,2,1,4,4,2,3,5,1,7,1,2,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,4,0,1,13,1,2,1,2,?,1,0,8,1,1,1,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,5,4151.80024,5,1,1,2,4,0,0,0,2,3,1,1,1,3,1,5,2,2,2,2,2,1
1,1,2,2,12,11,20,5,5,2,2,11,1,1,20,5,5,2,2,11,1,1,5,0,0,0,2,3,2,1,2,2,2,25,2,1,0,0,2,4,5,2,9,1,1,3,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,14,1,4,1,1,1,2,9,12,2,3,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,1,2,?,5,4820.1331,5,4,1,3,4,0,0,0,2,3,2,2,1,2,1,5,3,?,?,?,2,2
8,1,2,2,12,11,52,3,3,2,2,28,1,2,52,3,3,2,2,28,1,2,2,0,0,0,2,2,2,2,2,2,2,28,2,1,4,4,2,4,5,2,10,1,2,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,15,1,5,1,1,2,2,9,12,2,4,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,?,2,1,4,4685.20849,5,1,1,2,4,0,0,0,2,3,2,1,1,2,1,4,2,2,2,2,2,2
1,1,2,2,11,11,29,1,1,2,2,28,1,2,29,1,1,2,2,28,1,2,3,2,0,0,2,1,2,1,2,2,2,20,2,3,4,4,2,3,5,1,5,1,2,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,1,1,1,1,2,0,12,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,4,4,2,2,2,2,2,2,1,0,0,0,1,0,0,0,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,3,3841.36518,5,1,1,2,4,0,2,0,2,3,2,2,1,2,1,4,2,2,2,2,2,1
1,1,2,2,12,11,42,1,6,2,2,42,1,1,42,1,6,2,2,42,1,1,5,0,3,0,2,4,2,1,2,2,2,17,1,2,4,4,2,4,5,2,10,1,2,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,16,1,5,1,1,1,2,9,12,4,1,4,2,2,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,3,1,1,3,1,1,4,1,1,2,0,0,1,0,0,0,1,0,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,3971.99154,5,1,1,2,4,0,2,1,2,3,4,2,1,3,1,5,3,1,1,1,2,1
1,1,2,2,12,11,35,1,1,2,2,40,1,2,35,1,1,2,2,40,1,2,4,0,1,0,2,2,2,2,2,2,2,20,2,3,4,4,2,3,5,1,9,1,2,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,16,1,5,1,1,2,2,9,12,2,2,2,2,1,2,2,2,2,2,2,1,1,?,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,3,3,3,1,3,3,2,1,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,3644.61111,5,1,1,1,4,0,0,1,2,3,2,2,1,3,1,4,3,2,1,1,2,1
1,1,2,2,14,2,44,1,1,2,2,42,1,2,40,1,1,1,2,40,1,2,5,1,0,0,1,4,2,1,2,2,2,1,2,1,4,4,2,9,5,2,11,1,2,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,17,1,6,1,1,1,2,9,12,4,1,4,1,1,1,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,1,?,2,1,4,3717.89404,6,1,1,3,4,0,0,0,2,3,4,2,1,3,2,5,2,2,?,?,2,2
1,1,2,2,13,2,44,1,6,2,2,41,1,2,40,1,6,1,2,28,1,2,4,0,1,0,2,2,2,1,2,2,2,4,1,3,4,4,2,4,5,2,7,1,2,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,14,1,3,2,1,1,2,0,12,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,?,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,3,3,1,1,3,3,2,1,3,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,?,2,2,1,3,5550.05537,6,1,1,2,4,0,0,1,1,0,2,2,?,3,1,2,2,2,1,1,2,1
1,1,2,2,?,11,48,1,6,2,2,40,1,2,48,1,6,2,2,40,1,2,5,0,2,4,2,4,2,1,2,2,2,20,1,2,4,4,1,3,5,1,9,1,2,4,0,2,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,15,1,4,1,1,1,2,9,12,2,4,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,?,2,1,1,4142.48427,?,1,2,1,4,0,0,0,2,3,2,2,1,3,1,5,3,2,2,2,2,2
1,1,2,2,12,11,35,1,1,2,2,6,1,1,35,1,1,2,2,6,1,1,6,1,0,0,2,4,1,1,2,2,2,17,2,2,4,4,2,4,5,2,9,1,1,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,16,1,5,1,1,1,2,9,12,4,1,4,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,3,4424.19526,5,4,1,0,4,0,0,0,2,1,4,2,1,1,1,4,3,2,2,2,2,2
8,1,2,2,8,11,31,5,5,2,2,41,2,2,31,5,5,2,2,41,2,2,3,2,0,3,2,1,2,1,2,2,2,28,2,1,4,4,2,3,5,1,6,2,2,0,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,13,1,2,1,1,1,2,6,8,4,1,4,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,2,2,1,1,?,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,5,4350.971,3,2,2,0,?,0,0,0,2,0,4,2,2,3,1,2,3,2,2,2,2,2
1,1,2,2,5,11,33,3,3,2,2,40,1,2,33,3,3,2,2,40,1,2,3,2,0,0,2,1,2,3,2,2,2,28,2,1,4,4,2,3,5,1,8,8,2,1,3,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,14,1,3,2,1,1,2,6,9,1,1,1,?,2,2,2,2,2,2,2,2,1,2,1,1,1,2,?,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,?,?,?,4,4738.41466,5,3,1,0,4,0,0,0,2,2,1,2,1,3,1,4,2,?,?,?,2,2
8,1,2,2,14,2,43,1,1,2,2,42,1,2,46,1,1,1,2,43,1,2,3,1,1,0,2,3,2,2,2,2,2,4,2,2,4,4,2,4,5,2,8,1,2,3,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,14,1,3,1,1,1,2,5,8,4,1,4,2,2,1,1,2,2,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,5584.65795,6,1,1,2,4,0,0,0,1,3,4,2,1,3,1,5,2,2,2,2,2,2
8,1,2,2,?,11,35,3,3,2,2,43,1,2,35,3,3,2,2,43,1,2,2,0,0,0,2,1,2,1,2,2,2,28,2,1,4,4,1,4,5,2,5,1,2,1,2,2,2,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,13,1,2,1,2,?,2,0,12,2,4,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,?,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,4575.11878,?,1,1,2,4,0,0,0,2,3,2,1,1,3,1,5,2,2,2,2,2,1
8,6,2,2,12,2,34,4,4,2,2,11,2,2,43,3,3,1,2,41,2,2,3,3,0,3,2,1,1,3,2,1,2,4,2,1,4,4,2,3,5,1,9,2,2,2,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,15,1,4,2,1,2,2,9,12,3,4,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,6944.91758,5,2,2,4,4,0,0,0,1,3,3,2,1,2,1,5,3,2,2,2,2,2
1,1,2,2,14,2,42,1,1,2,2,41,1,2,44,1,1,1,2,43,1,2,4,0,0,0,2,4,2,3,2,2,2,4,2,1,4,4,1,3,5,1,8,1,2,4,0,2,2,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,14,1,4,1,1,1,2,9,12,4,1,4,2,2,2,2,1,2,2,2,?,1,2,1,1,?,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,4,4782.85229,6,1,1,1,4,0,0,0,2,3,4,2,1,3,1,5,2,?,?,?,2,2
5,6,2,2,7,11,39,3,6,2,2,40,3,2,39,3,6,2,2,40,3,2,2,1,0,1,2,0,2,1,2,2,2,28,2,2,4,4,1,3,5,1,7,7,1,0,3,1,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,12,1,2,1,1,1,2,0,8,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,3,3,3,3,3,2,3,3,2,3,1,2,2,0,0,1,0,1,0,0,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,3765.62517,3,4,2,0,2,0,3,0,2,3,1,1,1,3,1,3,2,2,?,2,3,1
1,1,2,2,14,11,44,3,3,2,2,42,1,2,44,3,3,2,2,42,1,2,3,0,0,0,2,1,2,1,2,2,2,28,2,1,1,1,2,4,5,2,7,1,2,2,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,13,1,3,2,2,?,2,0,12,4,2,4,2,1,2,1,2,2,2,2,1,1,2,1,1,2,2,?,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,4,4,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,3848.33997,6,1,1,2,4,0,0,0,2,3,4,1,1,3,1,5,2,2,2,2,2,2
1,4,2,2,7,11,38,1,1,1,2,40,1,2,38,1,1,1,2,40,1,2,4,0,0,0,2,1,2,3,2,2,2,10,2,3,4,4,1,4,5,2,7,1,2,1,2,2,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,14,1,3,1,1,1,2,7,9,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,3806.62779,3,1,1,4,4,0,0,0,2,3,1,2,1,3,1,4,2,2,2,2,2,1
1,1,2,2,?,2,43,1,1,2,2,40,1,2,44,1,1,1,2,42,1,2,4,1,0,0,2,4,2,1,2,2,2,4,2,2,4,4,2,4,5,2,9,1,2,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,15,1,5,1,1,1,2,9,12,4,1,4,2,1,1,1,1,2,2,2,1,1,2,?,1,?,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,4,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,3,3594.92071,?,1,1,4,4,0,0,0,2,3,4,2,1,3,1,5,2,2,2,2,2,2
1,5,2,2,9,2,34,1,1,2,2,28,1,1,32,1,1,1,2,28,1,1,3,1,0,0,2,1,2,1,2,2,2,4,2,2,4,4,1,3,5,1,8,1,1,4,0,2,2,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,14,1,4,1,1,1,2,9,12,2,1,2,1,1,2,2,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,3471.57601,4,4,1,2,4,0,0,0,2,3,2,2,1,2,2,5,3,2,2,2,2,2
1,5,2,2,?,2,30,1,1,2,2,28,1,1,29,1,1,1,2,11,1,1,3,0,0,0,2,2,2,1,2,2,2,4,2,1,4,4,2,3,5,1,8,1,1,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,13,1,3,2,1,1,2,6,8,4,1,4,2,2,2,1,2,2,2,2,1,1,?,?,1,2,2,?,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,?,?,1,1,4833.42607,?,4,1,1,4,0,0,0,2,3,4,1,1,2,1,5,2,2,2,?,2,2
1,1,2,2,?,2,35,1,1,2,2,28,1,2,38,1,1,1,2,28,1,2,4,0,0,0,2,4,2,1,2,2,2,4,2,2,4,4,2,3,5,1,5,1,2,2,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,12,1,1,2,1,1,2,6,8,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,?,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,3,2,3,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,3,4242.57001,?,1,1,0,4,0,0,0,2,3,2,2,1,2,1,5,2,2,2,?,2,1
1,1,2,2,9,2,37,1,6,2,2,40,1,2,44,1,6,1,2,27,1,2,3,2,1,0,1,4,1,1,2,2,2,4,1,3,4,4,1,4,5,2,8,1,2,4,0,2,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,14,1,4,2,1,1,2,0,12,2,2,2,?,1,2,1,2,2,2,2,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,3479.16504,4,1,1,2,4,0,0,0,2,3,2,2,1,3,1,4,2,2,2,2,2,2
1,1,2,2,11,2,55,1,1,2,2,28,1,2,47,1,1,1,2,42,1,2,4,0,0,0,2,4,2,1,2,2,2,1,2,2,4,4,1,3,5,1,10,1,2,4,0,2,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,17,1,6,1,1,1,2,9,12,4,1,4,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,1,2,2,2,1,4,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,3822.31611,5,1,1,0,4,0,0,1,2,3,4,2,2,2,1,5,3,1,1,1,2,1
5,1,2,2,?,2,40,1,6,2,2,40,1,2,52,1,6,1,2,40,1,2,4,0,0,0,2,2,2,1,2,2,2,6,1,3,4,4,1,10,5,2,11,1,2,4,0,2,2,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,15,1,5,1,1,1,2,9,12,3,2,3,2,1,1,2,2,1,1,2,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,3,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,4418.66133,?,1,1,4,4,1,0,1,2,1,3,2,1,3,1,3,2,1,1,1,2,1
1,1,2,2,?,11,41,5,5,2,2,40,2,2,41,5,5,2,2,40,2,2,2,0,0,2,2,0,2,1,2,1,2,28,2,1,4,4,2,4,5,2,10,2,2,2,1,1,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,16,1,6,1,1,2,2,6,12,4,1,4,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,3,2,2,2,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,5,4403.06529,?,2,2,1,4,1,0,0,2,3,4,1,1,3,2,5,3,2,1,2,2,2
1,1,2,2,13,11,37,1,1,2,2,40,1,2,37,1,1,2,2,40,1,2,4,0,0,0,2,4,2,1,2,2,2,20,2,1,4,4,2,3,5,1,7,1,2,4,0,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,13,1,3,1,1,1,2,6,8,4,1,4,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,?,1,1,1,4002.67326,6,1,1,0,4,0,0,0,2,3,4,2,1,3,1,5,3,2,2,2,2,2
1,1,2,2,9,2,43,1,8,2,2,41,1,2,43,1,8,1,2,28,1,2,3,1,1,0,2,3,2,1,2,2,2,4,2,1,4,4,1,4,5,2,7,1,2,4,0,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14,1,3,1,1,1,2,6,8,2,3,2,2,2,2,1,1,2,2,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,4554.39315,4,1,1,2,4,0,0,0,2,1,2,2,1,3,1,3,2,2,2,2,2,1
